#,word1,word2,similarity
1,gem,jewel,3.94
2,midday,noon,3.94
3,automobile,car,3.92
4,cemetery,graveyard,3.88
5,cushion,pillow,3.84
6,boy,lad,3.82
7,cock,rooster,3.68
8,implement,tool,3.66
9,forest,woodland,3.65
10,coast,shore,3.6
11,autograph,signature,3.59
12,journey,voyage,3.58
13,serf,slave,3.46
14,grin,smile,3.46
15,glass,tumbler,3.45
16,cord,string,3.41
17,hill,mound,3.29
18,magician,wizard,3.21
19,furnace,stove,3.11
20,asylum,madhouse,3.04
21,brother,monk,2.74
22,food,fruit,2.69
23,bird,cock,2.63
24,bird,crane,2.63
25,oracle,sage,2.61
26,sage,wizard,2.46
27,brother,lad,2.41
28,crane,implement,2.37
29,magician,oracle,1.82
30,glass,jewel,1.78
31,cemetery,mound,1.69
32,car,journey,1.55
33,hill,woodland,1.48
34,crane,rooster,1.41
35,furnace,implement,1.37
36,coast,hill,1.26
37,bird,woodland,1.24
38,shore,voyage,1.22
39,cemetery,woodland,1.18
40,food,rooster,1.09
41,forest,graveyard,1
42,lad,wizard,0.99
43,mound,shore,0.97
44,automobile,cushion,0.97
45,boy,sage,0.96
46,monk,oracle,0.91
47,shore,woodland,0.9
48,grin,lad,0.88
49,coast,forest,0.85
50,asylum,cemetery,0.79
51,monk,slave,0.57
52,cushion,jewel,0.45
53,boy,rooster,0.44
54,glass,magician,0.44
55,graveyard,madhouse,0.44
56,asylum,monk,0.39
57,asylum,fruit,0.19
58,grin,implement,0.18
59,mound,stove,0.14
60,automobile,wizard,0.11
61,autograph,shore,0.06
62,fruit,furnace,0.05
63,noon,string,0.04
64,rooster,voyage,0.04
65,cord,smile,0.02
